slug,name,akc_group,size_band,min_kg,max_kg,min_lb,max_lb,min_lifespan_years,max_lifespan_years,midpoint_kg,daily_kcal_neutered_adult_at_midpoint
neapolitan-mastiff,Neapolitan Mastiff,Working,giant,49.9,68,110,149.9,7,9,58.95,2383
nederlandse-kooikerhondje,Nederlandse Kooikerhondje,Sporting,small,9.1,13.6,20.1,30,12,15,11.35,693
newfoundland,Newfoundland,Working,giant,45.4,68,100.1,149.9,9,10,56.7,2314
norfolk-terrier,Norfolk Terrier,Terrier,small,5,5.4,11,11.9,12,16,5.2,386
norrbottenspets,Norrbottenspets,Miscellaneous Class,small,9.1,13.6,20.1,30,14,17,11.35,693
norwegian-buhund,Norwegian Buhund,Herding,medium,11.8,18.1,26,39.9,12,15,14.95,852
norwegian-elkhound,Norwegian Elkhound,Hound,medium,21.8,24.9,48.1,54.9,12,15,23.35,1190
norwegian-lundehund,Norwegian Lundehund,Non-Sporting,small,9.1,13.6,20.1,30,12,15,11.35,693
norwich-terrier,Norwich Terrier,Terrier,small,5.4,5.4,11.9,11.9,12,15,5.4,397
nova-scotia-duck-tolling-retriever,Nova Scotia Duck Tolling Retriever,Sporting,medium,15.9,22.7,35.1,50,12,14,19.3,1031
old-english-sheepdog,Old English Sheepdog,Herding,large,27.2,45.4,60,100.1,10,12,36.3,1656
otterhound,Otterhound,Hound,large,36.3,52.2,80,115.1,10,13,44.25,1922
papillon,Papillon,Toy,toy,2.3,4.5,5.1,9.9,14,16,3.4,280
parson-russell-terrier,Parson Russell Terrier,Terrier,small,5.9,7.7,13,17,13,15,6.8,472
pekingese,Pekingese,Toy,small,6.4,6.4,14.1,14.1,12,14,6.4,451
pembroke-welsh-corgi,Pembroke Welsh Corgi,Herding,medium,12.7,13.6,28,30,12,13,13.15,773
